N,P,K,temperature,humidity,ph,rainfall,label,label
89.99419077,48.22651217,48.196635,22.87103309,85.77897826,0,613.3683587,rice,rice
82.04043135,49.53783997,46.42554595,16.21950713,81.11777582,11.12956117,219.3515516,rice,rice
57.17847872,51.29921518,32.27430147,19.76315714,88.98396951,5.136944857,260.7538932,rice,rice
81.83875633,27.41023038,97.8933965,31.11717794,71.67521103,0,250.0950297,rice,rice
84.68646437,49.18049346,40.83950833,15.70674087,92.37381128,11.81884202,269.0796883,rice,rice
66.20168243,35.41246762,32.27430147,28.96535036,83.83505243,4.202037027,245.4192186,rice,rice
67.73375164,58.9279695,42.76628292,18.04239662,75.59004024,7.272947506,275.0068201,rice,rice
91.27095426,51.01539669,44.39968262,25.96343512,83.36565697,0,238.7820821,rics,rice
84.46857883,44.54424414,41.14092141,31.23014821,79.26894506,8.44477295,96.16730084,rice,rice
67.46860957,58.5768173,38.45481566,26.04556622,80.11114402,6.693546474,674.4334808,rice,rice
79.97783392,51.47871969,37.21828793,27.09585224,78.12444679,6.666087083,262.7014637,rice,rice
83.64906644,40.8376748,43.18128201,23.86810261,80.01254853,4.552403443,253.8857666,rice,rice
73.34835363,61.66020519,47.56484474,18.12846389,81.99755569,6.666087083,284.4481553,rice,rice
102.8995156,58.72343928,34.27780233,31.33315716,83.27802826,4.985766212,185.2547213,rice,rice
87.55300077,48.20759126,32.27430147,23.90400318,79.45110785,5.900919241,202.0216605,rice,rice
55.55150198,44.76769128,43.11474288,23.6579598,81.27961635,5.02148678,226.1937249,rice,rice
83.07084003,35.38557321,43.41961267,17.43887412,79.00648221,6.876985927,283.097256,rice,rice
84.02093036,91.1312235,34.97432697,22.0046251,79.67185149,4.469058394,203.1776933,rice,rice
81.62981354,28.16982217,31.6970889,31.68424576,73.39297439,5.152892346,223.1674722,rice,rice
89.51405387,40.79978369,47.29066346,8.359465863,76.39530464,0,293.7228668,rice,rice
92.23649198,38.4473754,46.86595381,18.94428995,91.10245812,1.349374246,187.5319987,rice,rice
82.55820492,32.43718006,37.0789118,17.28554506,75.41095111,1.406888626,232.5439908,rice,rice
63.49431674,71.86483209,44.79948639,22.97331482,75.89920648,6.666087083,96.16730084, rice ,rice
82.67987458,41.47326111,40.38924995,21.80502592,78.5680375,4.577025473,227.5180254,rice,rice
95.89795173,57.02535582,39.40056506,23.98516499,241.9480993,13.40935558,224.7447456,rice,rice
63.83156057,47.87769037,48.62883646,27.02821293,78.36725944,12.57031734,260.4345938,rice,rice
101.4159447,60.59603208,41.36981141,26.24623668,88.70296279,9.170211011,96.16730084,rice,rice
103.4581014,44.49020823,46.50323285,29.72295737,79.26894506,8.333642235,259.7182607,ricg,rice
61.90832141,60.84630147,32.27430147,28.22028396,84.32903737,0,246.7083992,rice,rice
78.26220125,55.00110121,32.43882434,18.4970155,74.91254382,14,96.16730084,rice,rice
69.52749278,55.41909477,39.81320153,25.96343512,81.38550748,0,269.6282434,ricx,rice
98.69784268,41.42468847,30.55713566,21.97870201,79.28704434,7.205514812,201.7151907,rice,rice
101.061585,45.18981172,45.01786605,21.3535074,75.57456065,6.700070676,272.842504,rice,rice
