N,P,K,temperature,humidity,ph,rainfall,label,npk_total,npk_balance_score,climate_zone,ph_level,rainfall_category,growing_conditions_score
90.0,42.0,43.0,20.87974371,82.00274423,6.502985292,202.9355362,rice,175.0,0.6801766955638678,Cool_Humid,Neutral,Medium,80.34465682316745
85.0,58.0,41.0,21.77046169,80.31964408,7.038096361,226.6555374,rice,184.0,0.73433817226464,Cool_Humid,Neutral,Medium,84.78308824114995
60.0,55.0,44.0,23.00445915,82.3207629,7.840207144,263.9642476,rice,159.0,0.8662203877063313,Cool_Humid,Alkaline,High,85.26718704951124
74.0,35.0,40.0,26.49109635,80.15836264,6.980400905,242.8640342,rice,149.0,0.7006384588236382,Hot_Humid,Neutral,Medium,86.32331731169253
78.0,42.0,42.0,20.13017482,81.60487287,7.628472891,262.7173405,rice,162.0,0.7220737023733363,Cool_Humid,Alkaline,High,79.96664822679641
69.0,37.0,42.0,23.05804872,83.37011772,7.073453503,251.0549998,rice,148.0,0.7413232422136606,Cool_Humid,Neutral,High,85.1683594766798
69.0,55.0,38.0,22.70883798,82.63941394,5.70080568,271.3248604,rice,162.0,0.7767082491222275,Cool_Humid,Acidic,High,81.36040086723575
94.0,53.0,40.0,20.27774362,82.89408619,5.718627178,241.9741949,rice,187.0,0.688634831477422,Cool_Humid,Acidic,Medium,76.6473166240979
89.0,54.0,38.0,24.51588066,83.5352163,6.685346424,230.4462359,rice,181.0,0.6981688672020988,Cool_Humid,Neutral,Medium,85.12974201845955
68.0,58.0,38.0,23.22397386,83.03322691,6.336253525,221.2091958,rice,164.0,0.781600897736426,Cool_Humid,Acidic,Medium,84.19440695788236
91.0,53.0,40.0,26.52723513,81.41753846,5.386167788,264.6148697,rice,184.0,0.6982797204001633,Hot_Humid,Acidic,High,80.05478791134392
90.0,46.0,42.0,23.97898217,81.45061596,7.50283396,250.0832336,rice,178.0,0.6901901635939928,Cool_Humid,Alkaline,High,84.4555863198359
78.0,58.0,44.0,26.80079604,80.88684822,5.108681786,284.4364567,rice,180.0,0.7783311821529312,Hot_Humid,Acidic,High,80.54063424945423
